groupName,customereducationalqualification,spouseeducationalqualification,familymemberscount,age,everDefault,everNPA,groupSize,maxRelCatProp,casteSimilarityProp,occupationHomogeneity,ownAsset,maritalStatus,ownHouse,farmerCategory,totalLand,min_age,max_age,var_age,dif_age,avg_expenditure,min_familymemberscount,max_familymemberscount,avg_familymemberscount,var_familymemberscount,dif_familymemberscount,log_minTotalAssets,logMaxAssets,logAvgAssets,avg_totalLand,var_totalLand,ownAssetProp,marriedProp,ownHouseProp,landFarmerProp,branchNameLC1,categoryLC1,districtnameLC1,villagetypeLC1,villagetypeLC2,"('category', 'GEN')","('category', 'OBC')","('category', 'SC')","('category', 'ST')",logIncome,logExpend,casteHomogeneity
BARGARH 3 C3 G1,1,1,4.5,44.5,0.5,0.25,4,50,0.5,50,1,1,1,0,0,34,53,65.666672,19,3500,3,7,4.5,3,4,5,5,5,0,0,1,1,1,0,33,4,16,5,0,0,0.5,0,0.5,8.8536654,8.1605186,0
BARGARH 3 C4 G1,1,1,3.2,35.2,0,0,5,100,0.40000001,80,1,1,1,0,0,21,51,179.7,30,3500,2,5,3.2,1.7,3,5,5,5,0,0,1,1,1,0,33,3,16,5,0,0,1,0,0,8.8536654,8.1605186,0
BARGARH1 C10 G1,0.75,1,4.5,45.75,0.25,0.25,4,100,0.5,50,1,0.5,1,0,0,36,53,50.916668,17,3500,3,5,4.5,1,2,5,5.079181246,5.041392685,0,0,1,0.5,1,0,33,3,7.25,5,0,0,1,0,0,8.8536654,8.1605186,0
BARGARH1 C11 G1,1.2,0,4.8,39,0,0,5,100,0.80000001,60,1,0.8,1,0,0,27,49,76.499992,22,3500,3,7,4.8000002,2.1999998,4,5.079181246,5.113943352,5.103803721,0,0,1,0.80000001,1,0,33,3,22.8,1.8,1.6,0,1,0,0,8.9871969,8.1605186,0
BARGARH1 C12 G1,1.5,1.75,4.75,38.875,0.875,0,8,100,0.375,62.5,1,1,1,0,0,24,45,45.839287,21,3750,4,6,4.75,0.49999997,2,4.903089987,5.255272505,5.134336511,0,0,0.875,1,1,0,33,3,1,1,2,0,1,0,0,8.92043115,8.22728395,0
BARGARH1 C13 G1,1.333333333,1.4,5,37.33333333,0.833333333,0.833333333,6,66.666664,0.5,33.333332,1,0.833333333,1,0.166666667,0.333333333,25,48,102.26667,23,3500,4,6,5,0.40000001,2,5,5,5,0.33333334,0.66666669,1,0.83333331,1,0.16666667,33,2.666666667,25.33333333,5,0,0.166666667,0.833333333,0,0,8.8536654,8.1605186,0
BARGARH1 C14 G1,2.428571429,2.333333333,4.142857143,41,0,0,7,71.428574,0.2857143,85.714287,1,0.857142857,1,0,0,29,53,64.666656,24,4000,3,7,4.1428571,2.1428573,4,4.699100273,5.301029996,5.192334411,0,0,1,0.85714287,1,0,33,2.428571429,1,5,0,0.285714286,0.714285714,0,0,8.9871969,8.2940493,0
BARGARH1 C16 G1,1.8,2.5,4.2,36.6,0.8,0.2,5,100,0.60000002,40,1,0.8,1,0,0,27,53,102.8,26,3800,3,7,4.1999998,2.6999998,4,5.113943352,5.255272505,5.198657087,0,0,1,0.80000001,1,0,33,3,6,5,0,0,1,0,0,8.9871969,8.2940493,0
BARGARH1 C17 G1,1,1,3.8,41.8,0,0,5,100,0.80000001,100,1,0.8,1,0,0,33,53,70.699997,20,3900,3,4,3.8,0.19999999,1,4.903089987,5.380211242,5.170270519,0,0,1,0.80000001,1,0,33,3,26.6,5,0,0,1,0,0,8.9871969,8.2940493,0
BARGARH1 C17 G2,1,1,4.5,35.25,0,0,4,75,0.5,100,1,0.75,1,0,0,27,43,42.916664,16,3750,3,7,4.5,3,4,5,5.176091259,5.096910013,0,0,1,0.75,1,0,33,2.75,17,5,0,0,0.75,0.25,0,8.92043115,8.22728395,0
BARGARH1 C19 G1,1.5,2,4.75,41.8,0.2,0.2,5,100,0.40000001,80,1,1,1,0.5,1.25,28,53,94.700005,25,3750,3,8,4.75,5.5833335,5,5.06069784,5.176091259,5.126293791,1.25,2.25,0.80000001,1,0.80000001,0.40000001,33,3,29.25,5,0,0,1,0,0,8.9871969,8.2940493,0
BARGARH1 C20 G1,2.2,2.6,4.8,42.4,0.6,0.6,5,40,0.40000001,20,1,1,1,0,0,32,53,56.299999,21,3500,3,6,4.8000002,1.7,3,5,5,5,0,0,1,1,1,0,33,1.8,22.8,5,0,0.6,0.4,0,0,8.8536654,8.1605186,0
BARGARH1 C21 G1,1.5,3,4.25,40.25,0.5,0.25,4,50,1,50,1,1,1,0,0,29,48,88.25,19,3500,3,6,4.25,1.5833335,3,5.176091259,5.217483944,5.200713734,0,0,1,1,1,0,33,3.25,24,2,1.5,0,0.5,0.25,0.25,8.9871969,8.1605186,0
BARGARH1 C23 G1,1,1,4.571428571,37.57142857,1,0.285714286,7,100,0.5714286,100,1,0.857142857,1,0,0,26,43,51.285717,17,2671.4285,3,7,4.5714288,1.6190476,4,5.267171728,6.210853365,5.604380341,0,0,1,0.85714287,1,0,33,3,1,5,0,0,1,0,0,8.9871969,7.9010072,0
BARGARH1 C23 G2,1,1,4.5,43.83333333,1,0.833333333,6,100,0.33333334,100,1,0.666666667,1,0,0,38,51,22.966667,13,2666.6667,3,7,4.5,1.9,4,4.51851394,5.267171728,5.203214268,0,0,1,0.66666669,1,0,33,3,1,5,0,0,1,0,0,8.9871969,7.9010072,0
BARGARH1 C24 G1,1,1.666666667,4,40,1,1,4,100,0.75,100,1,0.75,1,0,0,25,53,164.66666,28,2625,3,5,4,0.66666669,2,5.243038049,5.311753861,5.273001272,0,0,1,0.75,1,0,33,3,13.5,5,0,0,1,0,0,8.9871969,7.88213705,0
BARGARH1 C25 G1,1,1,4.5,36.5,0,0,4,100,1,100,1,0.75,1,0,0,24,46,100.33334,22,2675,3,7,4.5,3,4,5.243038049,5.31386722,5.273579946,0,0,1,0.75,1,0,33,3,1,3,1,0,1,0,0,8.9871969,7.9010072,1
BARGARH1 C25 G2,1,1,5,45.4,0.4,0.4,5,100,0.80000001,100,1,0.6,1,0,0,33,54,63.299999,21,2600,4,6,5,0.49999997,2,5.243038049,5.33243846,5.276461804,0,0,1,0.60000002,1,0,33,3,1,5,0,0,1,0,0,8.9871969,7.8632669,0
BARGARH1 C28 G1,1,1.5,3.25,36.25,0,0,4,100,0.5,50,1,1,1,0,0,22,53,162.25002,31,3500,3,4,3.25,0.25,1,5,5,5,0,0,1,1,1,0,33,3,24.75,5,0,0,1,0,0,8.8536654,8.1605186,0
BARGARH1 C29 G1,0.666666667,0.5,3.5,45.33333333,0.166666667,0.166666667,6,66.666664,0.33333334,83.333336,1,0.666666667,1,0.5,1.166666667,29,54,90.666672,25,2950,3,5,3.5,0.69999999,2,5.176091259,5.267171728,5.230789402,1.1666666,1.7666665,1,0.66666669,1,0.5,33,3.666666667,28.83333333,2.333333333,2,0,0.666666667,0,0.333333333,8.9871969,7.9010072,0
BARGARH1 C3 G1,1.8,2,4,40,0.2,0.2,5,40,0.40000001,60,1,0.8,1,0,0.1,27,53,103,26,4100,3,5,4,1,2,5.041392685,5.72427587,5.322219295,0.1,0.049999997,1,0.80000001,1,0,33,3,11,3.4,0.8,0.2,0.4,0.4,0,8.9871969,8.2940493,0
BARGARH1 C3 G2,1.285714286,1.333333333,4.142857143,40,0,0,7,42.857143,0.42857143,42.857143,1,0.857142857,1,0,0,29,51,57.333336,22,3928.5715,2,7,4.1428571,2.1428573,5,4.672097858,5.77815125,5.241973145,0,0,1,0.85714287,1,0,33,3.285714286,22.42857143,4.428571429,0.285714286,0.142857143,0.428571429,0.285714286,0.142857143,8.8536654,8.2940493,0
BARGARH1 C30 G1,1,1,4.8,39.4,0.4,0.2,5,100,1,100,1,0.8,1,0,0,18,53,239.80002,35,2660,3,6,4.8000002,1.7,3,5.243038049,5.267171728,5.247973266,0,0,1,0.80000001,1,0,33,3,21,5,0,0,1,0,0,8.9871969,7.9010072,1
BARGARH1 C30 G2,1,1,4,35.5,0.25,0,4,100,1,100,1,1,1,0,0,26,48,94.333336,22,2675,4,4,4,0,0,5.243038049,5.267171728,5.255272505,0,0,1,1,1,0,33,3,21.25,5,0,0,1,0,0,8.9871969,7.9010072,1
BARGARH1 C5 G1,2,2.333333333,4.166666667,38,0,0,6,66.666664,0.33333334,50,1,1,1,0,0.166666667,27,49,107.99999,22,4000,4,5,4.1666665,0.16666667,1,5.079181246,5.397940009,5.190331698,0.16666667,0.16666667,1,1,1,0,33,2.333333333,26,5,0,0.333333333,0.666666667,0,0,8.9871969,8.2940493,0
BARGARH1 C6 G1,2,1.833333333,4.5,38.5,0.125,0,8,87.5,0.875,25,1,0.75,1,0.25,0.5,27,48,68.285721,21,3875,3,6,4.5,1.1428571,3,4.903089987,5.447158031,5.179695383,0.5,0.85714287,1,0.75,1,0.25,33,2.125,26.875,1,2,0,0.125,0.875,0,8.8881617,8.2940493,0
BARGARH1 C7 G1,1.8,1.75,4.4,38.4,0.2,0.2,5,80,0.40000001,80,1,0.8,1,0.2,0.6,25,46,67.300003,21,3900,3,6,4.4000001,1.3000001,3,4.903089987,5.176091259,5.120573931,0.60000002,0.79999995,1,0.80000001,1,0.2,33,2.6,1,1,2.6,0.2,0.8,0,0,8.9871969,8.2940493,0
BARGARH1 C8 G1,1.5,3,4,48.25,0,0,4,100,0.5,50,1,0.25,1,0.25,1,43,54,20.25,11,3875,2,9,4,11.333333,7,5.146128036,5.146128036,5.146128036,1,4,1,0.25,1,0.25,33,3,1,4,0.5,0,1,0,0,8.9871969,8.2940493,0
BARGARH1 C9 G1,1.4,2.6,3.8,37.6,0,0,5,100,0.60000002,100,1,1,1,0,0,30,44,32.799999,14,4000,3,4,3.8,0.19999999,1,5.113943352,5.176091259,5.164352856,0,0,1,1,1,0,33,3,16,5,0,0,1,0,0,8.9871969,8.2940493,0
BARGUDA C1 G1,1,1,4.571428571,45.14285714,0,0,7,100,0.5714286,57.142857,1,0.857142857,1,0,0.714285714,36,54,43.809525,18,2500,4,5,4.5714288,0.28571427,1,4.954242509,4.954242509,4.954242509,0.71428573,0.23809522,1,0.85714287,1,0,17,3,16.28571429,5,0,0,1,0,0,9.0118895,7.8240461,0
BARIHAPALI C1 G1,1.5,3,3.5,36.5,0,0,4,75,0.25,100,1,1,1,0,0,27,49,86.333336,22,3250,2,4,3.5,1,2,4.903089987,4.903089987,4.903089987,0,0,1,1,1,0,23,3.5,27,1,2,0,0.75,0,0.25,8.9871969,8.1502085,0
BARIHAPALI C3 G1,1,0.8,4.8,41.2,0,0,5,80,0.2,100,1,1,1,0.2,0.3,35,53,52.199997,18,3200,4,5,4.8000002,0.19999999,1,4.77815125,4.77815125,4.77815125,0.30000001,0.45000002,1,1,1,0.2,23,4.6,26,1.8,2.4,0,0.2,0,0.8,8.9871969,8.0063677,0
BARIHAPALI C5 G1,0.75,3,5.25,43.5,0,0,4,75,0.25,100,1,0.75,1,0,0,35,49,38.333336,14,3000,4,6,5.25,0.91666663,2,4.903089987,4.903089987,4.903089987,0,0,1,0.75,1,0,23,3.5,15,5,0,0,0.75,0,0.25,8.9871969,8.0063677,0
BARIKEL C1 G1,0.6,1.5,4,37.6,0,0,5,80,0.60000002,80,1,0.8,1,0.4,1.5,26,48,116.3,22,2700,3,7,4,3,4,4,4.602059991,4.28330573,1.5,0.75,1,0.80000001,1,0.40000001,23,2.8,21,5,0,0,0.8,0.2,0,8.8536654,8.0063677,0
BARIKEL C10 G1,0,0,6,32.6,0,0,5,80,0.2,80,1,1,1,0,1,24,40,51.799999,16,3000,6,6,6,0,0,4.079181246,4.079181246,4.079181246,1,0,1,1,1,0,23,3,21.8,5,0,0,1,0,0,8.8536654,8.0063677,0
BARIKEL C2 G1,0.666666667,0.333333333,4.5,41.33333333,0,0,6,66.666664,0.5,100,1,0.5,1,0.5,1.416666667,28,53,99.866661,25,3000,3,6,4.5,1.0999999,3,4,4.602059991,4.452297681,1.4166666,0.24166667,0.83333331,0.5,1,0.5,23,3.166666667,25.5,3,1.5,0,0.666666667,0.166666667,0.166666667,8.8536654,8.0063677,0
